City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
522,buta,2.7858,24.73,71.02,45,80,1.23,CD,1704749514
523,sotik post,-0.7813,35.3416,58.44,91,93,1.34,KE,1704749515
524,kruisfontein,-34.0033,24.7314,63.88,85,100,2.95,ZA,1704749515
525,kapoeta,4.7717,33.5903,84.24,30,9,3.11,SS,1704749516
526,itapaci,-14.9508,-49.5494,69.03,98,100,2.42,BR,1704749448
527,al hasakah,36.5024,40.7477,52.32,56,100,7.2,SY,1704749517
528,merizo village,13.2658,144.6691,80.33,88,14,17.54,GU,1704749517
529,guerrero negro,27.9769,-114.0611,62.46,33,34,3.06,MX,1704749280
530,nishinoomote,30.7333,131.0,52.88,70,100,10.22,JP,1704749518
531,east independence,39.0956,-94.3552,34.81,96,100,14.97,US,1704749521
532,minas de marcona,-15.2119,-75.1103,69.75,66,17,15.35,PE,1704749521
533,sao jose da coroa grande,-8.8978,-35.1478,81.21,80,0,12.84,BR,1704749521
534,baardheere,2.3446,42.2764,78.55,57,67,9.98,SO,1704749522
535,paradise,36.0972,-115.1467,50.61,19,0,24.16,US,1704749522
536,palikir - national government center,6.9248,158.1611,81.45,89,75,12.66,FM,1704749523
537,micheweni,-4.9667,39.8333,81.32,79,100,11.61,TZ,1704749523
538,el granada,37.5027,-122.4694,57.45,61,100,10.36,US,1704749524
539,obsharovka,53.125,48.8531,-10.68,100,93,3.09,RU,1704749525
540,gouloure,12.2306,-1.9289,76.73,15,1,8.95,BF,1704749525
541,zonguldak,41.25,31.8333,43.97,96,99,3.56,TR,1704749526
542,tra mhor,52.1624,-7.1524,38.73,72,75,8.05,IE,1704749526
543,broken hill,-31.95,141.4333,71.29,62,0,8.43,AU,1704749485
544,krutinka,56.0055,71.5113,-1.28,91,100,20.29,RU,1704749527
545,gadzhiyevo,69.2551,33.3362,14.31,93,100,8.7,RU,1704749528
546,antigonish,45.6169,-61.9986,26.82,79,100,8.01,CA,1704749529
547,nueva concepcion,14.2,-91.3,87.58,48,3,13.09,GT,1704749529
548,zhanaozen,43.3,52.8,38.59,78,100,12.08,KZ,1704749530
549,grand baie,-20.0182,57.5802,81.07,88,57,10.36,MU,1704749531
550,siocon,7.7061,122.1353,77.7,87,70,3.02,PH,1704749531
551,undurkhaan,47.3194,110.6556,-11.36,98,33,5.06,MN,1704749532
552,vicuna,-30.0319,-70.7081,87.76,25,3,7.76,CL,1704749532
553,mossel bay,-34.1831,22.146,64.33,89,91,11.59,ZA,1704749533
554,saldanha,-33.0117,17.9442,62.65,85,0,23.69,ZA,1704749533
555,borogontsy,62.6683,131.1683,-58.83,100,96,0.92,RU,1704749534
